ano_de_referencia,total,despesas_correntes,pessoal_e_encargos_sociais,juros_e_encargos_da_divida,outras_despesas_correntes,transferencias_a_estados,df_e_municipios,beneficios_previdenciarios,demais_despesas_correntes,despesas_de_capital,investimentos,inversoes_financeiras,amortizacao_da_divida,refinanciamento,refinanciamento_da_divida_mobiliaria,refinanciamento_da_divida_contratual,outras_despesas_de_capital
1980,1190994078425,25,784084071152,78,126650181258,30,61537454575,3,595896435319,45,113733245962,32,91717416968,64,390445772388,49,406910007272
1981,2254895881199,71,1399089777357,89,304933273819,12,57082709220,84,1037073794317,93,220979634419,50,185733138005,32,630361021893,11,855806103841
1982,4619772086344,0,3521783953808,0,523860864136,0,161491399028,0,2836431690644,0,907286011684,0,416267974346,0,1512877704614,0,1097988132536
1983,11104585323599,0,8537106422519,0,1126115006441,0,498252159162,0,6912739256916,0,2054745931303,0,881606575769,0,3976386749844,0,2567478901080
1984,33817215546069,0,27008994019156,0,3062917355267,0,1035648823155,37,22910427840733,60,6832929188218,0,2530230355352,0,13547268297163,60,6808221526913
1985,130425844256952,0,105036578037773,0,13831265939170,0,10787181907017,0,80418130191586,0,32427186516538,0,10910245687734,0,37080697987314,0,25389266219179
1986,548108711199,60,363373391217,47,34903124581,54,85626978680,47,242843287955,46,98292144945,82,28683688096,36,115867454913,28,184735319982
1987,1615099597723,93,1076785656907,95,117086240355,23,79009840614,79,880689575937,93,315371319554,41,99641765434,19,465676490949,33,538313940815
1988,15857926137634,50,10319273331399,0,1168161295038,72,2370153409613,34,6780958626746,91,2306535099348,47,892092718187,65,3582330809210,79,5538652806235
1989,529882014252,86,224924765811,32,25282017679,80,78923131675,60,120719616455,92,31647292921,4,18708997639,1,70363325895,87,304957248441
1990,21580391162797,50,6202115869981,38,1938362314343,30,893154905016,60,3370598650621,48,1020124187264,18, -   ,2350474463357,30,15378275292816,10
1991,45889223130699,30,23824998498698,90,7615665951823,92,787311072212,3,15422021474662,90,4479929703222,12, -   ,10942091771440,80,22064224632000,40
1992,629777415215842,0,284719558499693,0,78041402605759,40,38583655273903,80,168094500620030,0,51391002438565,0, -   ,116703498181465,0,345057856716148,0
1993,16057884963633,30,7927373079394,16,1897271166666,26,1080737798689,83,4949364114038,7,1322920252541,12,1993817133897,41,1632626727599,54,8130511884239
1994,140476541713,62,70182597198,92,18266322216,82,9832613043,54,42083661938,56,12001031789,41,17007952825,36,13074677323,79,35861215514
1995,241269925251,60,132968175110,28,37889174156,6,16766164599,45,78312836354,77,21639387837,12,32561675957,20,24111772560,45,21458806141
1996,288202966010,57,153448309175,71,40900880825,4,19491998361,94,93055429988,73,25684514160,55,41486959921,60,25883955906,58,25861126805
1997,390579195874,80,171326689714,29,44529739521,89,21033226435,32,105763723757,8,29935179331,38,46445326782,6,29383217643,64,84679984915
1998,500182397556,51,199342122731,58,47946551537,23,30812498779,33,120583072415,2,37509187012,67,53510900801,40,29562984600,95,104100142198
1999,588535656712,71,228335463370,45,51571042513,23,45355563793,32,131408857063,90,41919152923,91,58158637129,83,31331067010,16,90957782385
2000,616382515529,14,250001064290,56,58240660489,99,38834849503,85,152925554296,72,51575262347,48,64710434115,53,36639857833,71,65419504501
2001,603434864215,52,293726970764,78,65449398568,83,52816427961,69,175461144234,26,59841191810,20,74857372911,30,40762579512,76,89662239604
2002,674928089894,83,339072729009,15,75029037158,24,55260683322,12,208783008528,79,73565222103,9,87588385028,92,47629401396,78,100024297740
2003,872456652308,92,383919189042,57,78974749646,26,65706834037,86,239237605358,45,80194756683,92,108477511642,3,50565337032,50,109443735717
2004,908177768890,21,439710796631,57,89431566169,91,74373387099,76,275905843361,90,92335629636,55,122976197420,41,60594016304,94,104048966308
2005,1106788198211,24,518532328033,20,94068460584,64,89839644291,51,334624223157,5,117708046307,93,142485443772,8,74430733077,4,88400384653
2006,1174668380186,24,630645302067,82,107053271516,84,151151879811,90,372440150739,8,126856412778,62,161746633685,7,83837104275,39,167190155143
2007,1165493791893,96,657267239360,84,116668821896,49,140078869860,18,400519547604,17,136429676684,17,177712767722,94,86377103197,6,133443236252
2008,1195381784689,12,699712278696,52,133133230318,49,110168275749,73,456410772628,30,168178180983,60,195355751720,62,92876839924,8,217908711380
2009,1334930904205,5,776160652790,19,153808481881,60,124180424433,10,498171746475,49,166914233783,15,218693863974,60,112563648717,74,293128192015
2010,1417560450094,7,851397220863,28,168861606957,25,122018856725,69,560516757180,34,187100367373,80,246321773098,59,127094616707,95,192725609342
2011,1574392253367,54,948736269915,16,181833613344,68,131036556537,53,635866100032,95,173391880915,47,273981476501,29,188492742616,19,146287658622
2012,1712330299797,85,1032074038717,10,188771336195,71,134079856058,66,709222846462,73,183357004131,11,310006426360,99,215859415970,63,381266569074
2013,1667660463125,77,1042545643574,89,185986618197,66,137766197405,96,718792827971,27,171452012528,21,328202794760,40,219138020682,66,134292294398
2014,2159760401879,21,1271865188770,64,220201006005,24,170350506798,41,881313675966,99,204660596746,61,390011595961,97,286641483258,41,271077127524
2015,2218151996727,68,1399017922507,0,235452588430,57,208360341749,48,955204992326,95,213859550580,17,402864916983,23,338480524763,55,247502335671
2016,2528998459178,82,1522301017317,0,255285135380,53,204890863484,56,1062125018451,91,239418603820,43,481153516198,50,341552898432,98,352798669506
2017,2440860509986,90,1582241464541,77,280696660645,63,203108884594,80,1098435919301,34,236580782131,44,528105737252,44,333749399917,46,391629778010
